subject_id,beta_c_cCond,beta_e_cCond,beta_c_eCond,beta_e_eCond,alpha,alpha_cf,q_init
1416,0.36551,1.4655,0.98617,0.69819,-5.1046,-0.3752,4.1708
1417,1.7407,0.074536,1.3423,-0.43273,-4.1511,-0.60445,2.5967
1420,0.78236,-1.3076,-0.33818,0.21527,-4.7046,-1.1014,3.5573
1424,1.1386,1.4047,0.76914,1.8143,-5.2168,-1.2868,3.6344
1428,1.2975,-1.2931,-0.87246,0.50249,0.045913,-4.1179,-2.6428
1436,-0.90955,-2.2071,-0.86616,-0.29692,-1.7664,2.2084,1.8741
1439,-2.3211,-2.2439,-0.90065,-1.8583,-0.69663,0.51159,1.1319
1441,0.29589,-0.94992,-0.64261,-2.3262,0.049888,1.1529,0.46079
1495,0.74296,1.2273,0.51348,1.1143,-4.6129,-1.1968,3.4657
1498,0.58213,1.3668,1.291,0.75924,-6.0626,-1.9397,3.9775
1500,2.0606,1.5479,1.4251,2.0896,-5.1395,-2.19,3.6028
1502,0.98647,0.79858,0.86953,0.39338,-4.7293,-0.56241,3.4545
1504,0.87963,1.0665,1.1107,1.8891,-6.1639,-2.5415,3.969
1512,0.683,-1.2736,0.97618,0.63978,-1.3862,-5.2035,-3.6801
1515,1.4394,-0.11603,1.4086,0.77301,-5.557,-2.3694,3.5057
1521,1.4012,-1.3147,1.6524,-0.13013,-5.8021,-1.7384,3.8628
1523,0.488,0.80357,-1.4471,-0.0024302,-4.6697,-0.19041,3.8785
1525,1.3897,0.99611,-1.5082,0.82045,-5.0606,-1.9198,3.2531
1527,-1.8931,0.4226,0.33658,0.63878,-1.8115,-4.0007,-2.7778
1528,1.5496,-1.4666,1.5357,-0.98224,-1.221,-5.0185,-3.3488
1529,0.78197,1.4313,1.4247,0.86662,-6.3803,-2.297,4.2905
1530,-0.055832,2.0725,-1.8996,1.9441,-0.83606,-2.7382,-2.2683
1531,-0.58262,0.50187,0.65236,-1.303,-4.8932,-0.17071,2.7874
1532,-1.4904,1.5379,1.0648,-0.4861,-2.6662,-5.8144,-3.4982
1545,0.98752,1.2742,-0.077055,1.1669,0.1686,-3.2621,-3.3075
1551,0.13726,1.0459,-1.1389,1.0205,-3.6052,-1.1451,2.5507
1573,-0.7249,0.013783,-1.1298,0.71242,-1.7971,-3.7365,-2.076
1575,1.1886,-0.86532,0.014891,-1.5584,-3.9374,-1.8032,1.8092
1582,0.71855,-1.0025,-1.7632,-1.4062,-3.4893,-0.79134,2.4579
1585,1.5598,-0.76917,2.1846,1.1821,-6.5778,-2.5892,4.2653
1586,-0.6007,0.14368,-0.37809,-0.35937,-3.7065,-0.29949,2.4988
1590,1.2117,0.31449,-0.77688,1.1538,-1.5093,-5.2198,-3.9058
1595,-2.1115,0.59909,-0.91871,0.49978,-3.7493,-0.77046,2.9377
1599,1.2905,-0.53721,0.93079,1.4306,-4.795,-1.1323,3.5109
1601,1.6725,-1.3752,1.7086,0.55643,-5.663,-0.86423,3.5943
1608,1.6396,-1.2236,1.4509,0.72622,-1.4939,-5.7579,-4.304
1609,1.8235,-0.99768,0.16772,1.0798,-1.0838,-4.2017,-2.8958
1611,0.40918,1.4707,1.2529,1.2937,-4.7591,-1.108,3.5022
1616,0.71474,1.2761,-0.32041,1.4895,-4.5664,-1.2642,3.6619
1617,1.2908,0.86915,0.69068,1.0626,-0.73422,-4.9799,-4.0496
1627,2.7882,1.6973,2.7399,1.8624,-3.0091,-8.2614,-5.4053
1631,-0.14057,-0.65851,-0.74746,-1.3012,-1.8079,-0.26367,2.153
1706,1.9902,0.43235,1.2896,1.2918,-4.8718,-1.6374,3.7475
1710,1.2409,1.1331,0.85283,1.6666,-5.589,-0.92959,4.0109
1711,0.93047,0.43995,0.7186,0.93175,-1.2929,-3.277,-2.9688
1712,1.4909,0.13624,-0.24467,1.0763,-0.4826,-4.3247,-3.5056
1713,1.5479,0.5183,1.3911,0.65178,-5.2625,-0.95077,3.2468
1718,0.05802,1.3892,-1.2684,1.5046,-4.2248,-0.056205,3.699
1719,-1.5662,-2.0129,-2.4497,-0.25574,-2.1063,-1.9197,0.10937
1726,-0.64573,-0.89385,-0.94034,-0.88538,1.6389,0.19176,-1.1249
1731,0.98041,0.4135,-0.18349,1.1212,-3.9114,-1.5696,2.9372
1734,0.99869,0.24518,-0.50275,-1.6431,-3.1625,-0.41794,2.9869
1793,0.49648,1.5044,-1.0334,1.8865,-5.3492,-1.735,3.8532
1800,0.4821,1.544,0.44166,1.4012,-2.0142,-5.6735,-3.8086
1837,-1.6233,-0.5824,0.78399,-1.7532,-2.1402,-2.1699,0.034004
1838,-0.68665,1.2974,-1.0645,1.1398,-4.4818,-1.4212,3.274
1840,1.5331,0.99312,0.34985,1.1516,-5.3046,0.31482,4.1639
1841,0.44037,1.8442,0.14947,1.1854,-3.1108,-0.60125,3.0968
1846,0.23135,0.38653,-0.13027,-0.35949,-4.654,-0.96553,3.2538
1855,-0.69938,1.2569,0.78515,0.55228,-4.7476,-1.363,3.5791
1858,1.2263,-0.38773,0.74999,1.9579,-5.5771,-2.2333,3.5507
1860,0.70388,2.3212,-1.0807,1.8373,-3.7565,-0.87326,1.963
1863,0.9394,1.0261,0.49887,0.74589,-5.0607,-1.6853,3.4674
1869,1.4374,0.14514,0.7236,0.95744,-4.5941,-0.64046,3.7293
1871,-0.77144,2.1164,-0.79682,1.5921,-0.63349,-4.9223,-3.6626
1896,1.6771,-1.0613,-0.052076,0.22727,-0.19618,-4.8199,-3.9088
1898,1.3349,-0.087639,-0.56986,1.6171,-4.8421,-1.6743,3.1859
1905,-2.196,-0.90236,-1.381,-2.7087,-1.6765,-0.80814,-0.42465
1922,-2.646,-1.5685,-2.1074,-2.8313,0.20056,1.5298,-0.31462
1963,-0.15594,1.9004,0.19574,1.0705,-3.5704,-0.84094,3.2512
1988,0.92808,-0.046149,0.65228,0.17304,-3.8836,-1.3864,3.1419
1990,-0.058659,-0.51537,-0.39722,-0.63511,-3.7012,-1.437,2.7558
2000,-0.8815,1.86,-0.27712,2.2644,-5.5104,-1.4562,3.9299
